,Nama Produk,harga,pengiriman,diskon
414,Signature Iced Japanese Milk Tea - Large,Rp30.600,Instant,10%
415,Iced Yuzu Lemon Tea - Large,Rp21.400,Instant,5%
416,Iced Manuka Honey Black Tea - Large,Rp26.500,Instant,
417,Signature Iced Black Tea - Large,Rp16.500,Instant,
418,Iced Manuka Honey Green Tea - Large,Rp26.500,Instant,
419,Signature Iced Matcha Latte - Large,Rp34.000,Instant,
420,Iced Jasmine Green Tea - Large,Rp21.600,Instant,8%
421,Iced Manuka Honey Latte (Espresso Base) - Large,Rp31.000,Instant,
422,Iced Hazelnut Latte (Espresso Base) - Large,Rp29.000,Instant,
423,Iced Salted Caramel Latte (Espresso Base) - Large,Rp28.500,Instant,5%
424,Iced Kopi Susu Gula Aren (Espresso Base) - Large,Rp20.800,Instant,20%
425,Iced Plain Latte (Espresso Base) - Large,Rp25.700,Instant,5%
426,Iced Americano (Espresso Base) - Large,Rp14.400,Instant,20%
427,Iced Manuka Honey Latte (Espresso Base) - Regular,Rp24.000,Instant,
428,Iced Hazelnut Latte (Espresso Base) - Regular,Rp22.000,Instant,
429,Iced Salted Caramel Latte (Espresso Base) - Regular,Rp17.600,Instant,20%
430,Iced Kopi Susu Gula Aren (Espresso Base) - Regular,Rp16.200,Instant,15%
431,Iced Plain Latte (Espresso Base) - Regular,Rp17.100,Instant,5%
432,Iced Americano (Espresso Base) - Regular,Rp12.800,Instant,15%
433,ABC Sirup Squash Delight Jeruk Florida,Rp17.600,Instant,
434,[Bundle] 3 Diamond Full Cream Susu UHT 1000 ml + 1 Matcha Drink Pillow - Astro Kids,Rp155.400,Instant,
435,Herba Original Minuman Madu Enak,Rp19.100,Instant,
436,Matcha Drink Pillow Astro Kids,Rp90.000,Instant,
437,Heavenly Blush Tummy Passionfruit Sugar Free Yogurt Drink 180ml,Rp8.500,Instant,50%
438,Heavenly Blush Tummy Lemon Sugar Free Yogurt Drink 180ml,Rp8.500,Instant,50%
439,Heavenly Blush Tummy Guanabana Soursop Sugar Free Yogurt Drink 180ml,Rp8.500,Instant,50%
440,Kombucha Variant Lavender Mambucha,Rp44.300,Instant,
441,Heavenly Blush Greek Yogurt Plain,Rp45.090,Instant,10%
442,Biokul Set Yogurt Plain,Rp46.100,Instant,
443,Biokul To Go Bluberry Yogurt,Rp7.300,Instant,
444,Biokul To Go Strawberry Yogurt,Rp7.300,Instant,
445,Biokul Greek Yogurt Honey,Rp14.100,Instant,
446,Biokul To Go Plain Yogurt,Rp7.300,Instant,
447,Biokul Greek Yogurt Mango,Rp72.200,Instant,
448,Biokul Greek Yogurt Topping Strawberry,Rp19.400,Instant,
449,Biokul Greek Yogurt Topping Cookies,Rp19.400,Instant,
450,Biokul To Go Mixberry Yogurt,Rp7.300,Instant,
451,Biokul To Go Lychee Yogurt,Rp7.300,Instant,
452,Biokul To Go Mango Yogurt,Rp7.300,Instant,
453,Heavenly Blush Greek Yogurt Honey,Rp27.100,Instant,
454,Cimory Stick Blueberry Yogurt Box,Rp65.300,Instant,16%
455,Cimory Stick Strawberry Yogurt Box,Rp65.300,Instant,16%
456,Cimory Squeeze Mango Sticky Rice Yogurt,Rp10.000,Instant,17%
457,Biokul Stired Yogurt Plain,Rp9.300,Instant,
458,Cimory Squeeze Strawberry Yogurt,Rp10.000,Instant,17%
459,Heavenly Blush Greek Yogurt Peach,Rp24.390,Instant,10%
460,Heavenly Blush Greek Yogurt Granola,Rp24.390,Instant,10%
461,Jardin Signature Americano Sweet,Rp13.500,Instant,
462,Milo Activ-Go Susu UHT,Rp5.800,Instant,
463,Hilo School Chocolate Susu UHT RTD,Rp7.400,Instant,17%
464,Milk Life Lactose Free Susu UHT,Rp6.400,Instant,
465,Nutrive Benecol Lychee Multipack 100ml,Rp54.100,Instant,5%
466,Nutrive Benecol Strawberry Multipack 100ml,Rp54.100,Instant,5%
467,Meiji Yogurt Plain,Rp22.000,Instant,
468,Meiji Yogurt Mango,Rp22.000,Instant,
469,Meiji Yogurt Mixed Berry,Rp22.000,Instant,
470,Cimory Yogurt Stick Orange 25 pcs x 40 gr,Rp65.300,Instant,16%
471,Biokul To Go Yuzu Yogurt,Rp7.300,Instant,
472,Biokul To Go Marshmallow Yogurt,Rp6.570,Instant,10%
473,Biokul To Go Brown Sugar Latte Yogurt,Rp6.570,Instant,10%
474,Biokul Greek Yogurt Plain,Rp63.500,Instant,
475,Yoseo Creamix Caramel Topping Choco Nut Crunch Yogurt,Rp14.900,Instant,
476,KIN Yogurt Slurp XL Blueberry Yogurt Pouch,Rp8.400,Instant,6%
477,Cimory Bites Blueberry Yogurt,Rp8.700,Instant,
478,Cimory Bites Strawberry Mango Yogurt,Rp8.700,Instant,
479,Cimory Bites Berry Blend Yogurt,Rp8.700,Instant,
480,Cimory Bites Yuzu Yogurt,Rp8.700,Instant,
481,Cimory Bites Strawberry Lychee Yogurt,Rp8.700,Instant,
482,Heavenly Blush Greek Yogurt Lychee,Rp27.100,Instant,
483,Cimory Greek Yogurt Low Fat,Rp43.400,Instant,
484,Heavenly Blush Greek Yogurt Original,Rp94.680,Instant,10%
485,Greenfields Strawberry Yogurt Pouch,Rp8.300,Instant,21%
486,Biokul Stired Yogurt Strawberry,Rp9.300,Instant,
487,Cimory Greek Yogurt Plain,Rp43.400,Instant,
488,Heavenly Blush Greek Yogurt Classic,Rp19.500,Instant,
489,Cimory Squeeze Peach Yogurt,Rp10.000,Instant,17%
490,Heavenly Blush Greek Yogurt Strawberry,Rp24.390,Instant,10%
491,Biokul Stired Yogurt Plain,Rp69.200,Instant,
492,Greenfields Blueberry Yogurt,Rp15.300,Instant,10%
493,Cimory Squeeze Blueberry Yogurt,Rp10.000,Instant,17%
494,Milk Life Kids Strawberry Milkshake 115ml Susu UHT 1 Dus,Rp125.000,Instant,
495,Milk Life Kids Classic Chocolate 115ml Susu UHT 1 Dus,Rp125.000,Instant,
496,Milk Life Chocolate Susu UHT,Rp20.800,Instant,
497,Milk Life Full Cream Susu UHT,Rp20.800,Instant,
498,Milk Life Teens Full Cream Susu UHT,Rp5.500,Instant,
499,Milk Life Teens Strawberry Susu UHT,Rp5.200,Instant,
500,Cimory Milk Tea Susu UHT,Rp6.200,Instant,18%
501,Cimory Thai Tea Susu UHT,Rp6.200,Instant,18%
502,Cimory Strawberry Susu UHT,Rp7.500,Instant,
503,Diamond Milk All Purpose Susu UHT,Rp21.900,Instant,
504,Cimory Strawberry Susu UHT,Rp17.500,Instant,23%
505,Cimory Chocolate Susu UHT,Rp12.500,Instant,29%
506,Cimory Marie Regal Susu UHT,Rp17.500,Instant,23%
507,Morinaga Chil Go Strawberry Milk 130ml,Rp33.200,Instant,8%
508,Organic Milk by Ultra Milk Susu UHT Organik,Rp30.000,Instant,25%
509,Milk Life Lactose Free Susu UHT Dus 200ml,Rp133.900,Instant,
510,Frisian Flag ENERGO+ Mixed Berries Susu UHT,Rp7.600,Instant,9%
511,Milo Cool Sensasi Dingin Susu RTD,Rp10.300,Instant,
512,Greenfields Cafe Latte Susu UHT,Rp7.000,Instant,
513,Ultra Milk Mocca Susu UHT,Rp17.900,Instant,
514,Pediasure Go Chocolate 1-10 Tahun Susu UHT,Rp14.700,Instant,
515,Bear Brand Gold White Tea Susu Sterill,Rp10.300,Instant,
516,Greenfields Chocolate Susu UHT 200 ml,Rp220.200,Instant,
517,Greenfields Strawberry Susu UHT 200 ml,Rp220.200,Instant,
518,Greenfields Full Cream Susu UHT 200 ml,Rp220.200,Instant,
519,Collagena Susu Steril Kolagen,Rp13.500,Instant,
520,Milku Original Susu UHT,Rp3.700,Instant,
521,Frisian Flag Nutribrain Strawberry Susu UHT 110ml,Rp98.500,Instant,16%
522,Frisian Flag Nutribrain Chocolate Susu UHT 110ml,Rp98.500,Instant,16%
523,Cimory Matcha Susu UHT,Rp7.300,Instant,
524,Ultra Milk Chocolate Susu UHT,Rp17.900,Instant,
525,Ultra Mimi Kids Vanila Susu UHT 125 ml,Rp138.700,Instant,
526,Cimory Chocolate Mint Susu UHT,Rp6.000,Instant,18%
527,Greenfields Strawberry Susu UHT 105 ml,Rp153.700,Instant,
528,Greenfields Full Cream Susu UHT Dus 105 ml,Rp153.700,Instant,
529,Greenfields Chocolate Susu UHT Dus 105 ml,Rp153.700,Instant,
530,Greenfields Chocolate Susu UHT,Rp8.500,Instant,
531,Greenfields Chocolate Susu UHT,Rp7.000,Instant,
532,Greenfields Full Cream Susu UHT,Rp8.500,Instant,
533,Frisian Flag Low Fat Belgian Chocolate Susu UHT,Rp6.800,Instant,10%
534,Ultra Milk Taro Susu UHT,Rp6.400,Instant,
535,Ultra Milk Strawberry Susu UHT,Rp3.900,Instant,
536,Ultra Milk Mocca Susu UHT,Rp7.700,Instant,
537,Ultra Milk Low Fat Susu UHT,Rp8.400,Instant,
538,Ultra Milk Low Fat Chocolate Susu UHT,Rp8.400,Instant,
539,Ultra Milk Karamel Susu UHT,Rp6.400,Instant,
540,Ultra Milk Chocolate Susu UHT,Rp3.900,Instant,
541,Ovaltine Cokelat Malt Susu UHT,Rp27.200,Instant,
542,Tujuh Kurma Susu Steril Kurma,Rp12.000,Instant,
543,Greenfields Strawberry Susu UHT,Rp7.000,Instant,
544,Milo Active-Go Susu UHT Multipack 110ml,Rp13.200,Instant,
545,Diamond Low Fat High Calcium Susu UHT,Rp21.800,Instant,
546,Ultra Mimi Kids Chocolate Susu UHT 125 ml,Rp134.000,Instant,
547,Greenfields Full Cream Susu UHT,Rp7.000,Instant,
548,Milku Chocolate Premium Susu UHT,Rp3.700,Instant,
549,Mujigae Banana Milk Original Susu UHT,Rp10.100,Instant,8%
550,Cimory Choco Malt Susu UHT,Rp6.000,Instant,18%
551,Cimory Choco Cashew Susu UHT,Rp6.000,Instant,18%
552,Cimory Blueberry Susu UHT,Rp6.000,Instant,18%
553,Milk Life Kids Strawberry Milkshake Susu UHT,Rp3.000,Instant,
554,Milk Life Kids Chocolate Susu UHT,Rp3.000,Instant,
555,Cimory Marie Regal Susu UHT,Rp7.300,Instant,
556,Cimory Choco Hazelnut Susu UHT,Rp6.000,Instant,18%
557,Cimory Choco Almond Susu UHT,Rp6.000,Instant,18%
558,Cimory Bebas Laktosa Susu UHT,Rp6.000,Instant,18%
559,Cimory Chocolate Susu UHT,Rp6.000,Instant,18%
